date,open,high,low,close,volume
2022-11-08,135.0,135.0,135.0,135.0,281895000
2022-11-09,155.0,182.0,130.0,182.0,985787500
2022-11-10,197.0,244.0,187.0,242.0,1008282000
2022-11-11,250.0,300.0,248.0,290.0,865122100
2022-11-14,294.0,320.0,270.0,270.0,294248200
2022-11-15,252.0,252.0,252.0,252.0,1886400
2022-11-16,236.0,236.0,236.0,236.0,1338300
2022-11-17,220.0,220.0,220.0,220.0,45806800
2022-11-18,206.0,254.0,206.0,226.0,1600560400
2022-11-21,228.0,256.0,226.0,234.0,1168791100
2022-11-22,236.0,266.0,218.0,218.0,1632734300
2022-11-23,204.0,206.0,204.0,204.0,115175700
2022-11-24,202.0,216.0,190.0,216.0,271312000
2022-11-25,216.0,236.0,202.0,218.0,1088122500
2022-11-28,218.0,244.0,204.0,234.0,954451400
2022-11-29,236.0,292.0,232.0,292.0,1322298400
2022-11-30,294.0,362.0,288.0,338.0,2042089700
2022-12-01,338.0,372.0,316.0,316.0,1452506900
2022-12-02,294.0,294.0,294.0,294.0,23977800
2022-12-05,274.0,274.0,274.0,274.0,15595000
2022-12-06,256.0,272.0,256.0,256.0,927616000
2022-12-07,240.0,272.0,240.0,240.0,1829229400
2022-12-08,224.0,262.0,224.0,258.0,1027264900
2022-12-09,260.0,278.0,240.0,240.0,558549500
2022-12-12,224.0,296.0,224.0,232.0,2354032400
2022-12-13,234.0,262.0,228.0,252.0,573151300
2022-12-14,254.0,278.0,236.0,236.0,1093239200
2022-12-15,232.0,240.0,220.0,220.0,308825400
2022-12-16,250.0,250.0,206.0,206.0,537576900
2022-12-19,192.0,212.0,192.0,208.0,724104800
2022-12-20,208.0,214.0,194.0,194.0,1015977100
2022-12-21,188.0,200.0,181.0,198.0,1038566900
2022-12-22,197.0,226.0,194.0,208.0,883434600
2022-12-23,210.0,222.0,194.0,194.0,968269900
2022-12-26,194.0,199.0,181.0,181.0,974327500
2022-12-27,169.0,171.0,169.0,169.0,299807400
2022-12-28,158.0,161.0,158.0,158.0,324934900
2022-12-29,150.0,166.0,150.0,160.0,804014200
2022-12-30,160.0,160.0,149.0,149.0,718203100
2023-01-02,146.0,179.0,141.0,171.0,1069182200
2023-01-03,172.0,178.0,160.0,170.0,1717601100
2023-01-04,160.0,162.0,159.0,159.0,937069800
2023-01-05,149.0,155.0,148.0,148.0,1549467500
2023-01-06,138.0,140.0,138.0,138.0,312704700
2023-01-09,137.0,139.0,129.0,131.0,190216900
2023-01-10,132.0,142.0,126.0,134.0,216254500
2023-01-11,136.0,154.0,134.0,153.0,331122600
2023-01-12,155.0,170.0,155.0,165.0,300370500
2023-01-13,166.0,167.0,154.0,154.0,105525500
2023-01-16,144.0,144.0,144.0,144.0,39703800
2023-01-17,136.0,153.0,134.0,148.0,249595700
2023-01-18,149.0,187.0,138.0,138.0,1974735000
2023-01-19,129.0,132.0,129.0,129.0,950215000
2023-01-20,120.0,129.0,120.0,120.0,475488700
2023-01-24,112.0,125.0,112.0,124.0,195923700
2023-01-25,124.0,127.0,116.0,116.0,868816900
2023-01-26,108.0,112.0,108.0,108.0,716522500
2023-01-27,101.0,108.0,101.0,107.0,201117000
2023-01-30,101.0,104.0,100.0,100.0,522222800
2023-01-31,93.0,96.0,93.0,93.0,394001800
2023-02-01,87.0,92.0,87.0,87.0,938418800
2023-02-02,81.0,82.0,81.0,81.0,133692800
2023-02-03,76.0,85.0,76.0,84.0,1007248900
